Price,Location,Bedroom,Bathroom,Carport,Land Area,Building Area
"Rp 1,07 Miliar","Summarecon Bekasi, Bekasi",3,2,,LT:  60 m²,LB:  100 m²
Rp 500 Juta,"Harapan Indah, Bekasi",3,2,,LT:  76 m²,LB:  76 m²
Rp 500 Juta,"Jatibening, Bekasi",2,1,,LT:  81 m²,LB:  40 m²
Rp 850 Juta,"Summarecon Bekasi, Bekasi",3,2,,LT:  59 m²,LB:  72 m²
Rp 630 Juta,"Summarecon Bekasi, Bekasi",3,2,,LT:  60 m²,LB:  80 m²
"Rp 1,11 Miliar","Summarecon Bekasi, Bekasi",3,2,,LT:  90 m²,LB:  108 m²
Rp 580 Juta,"Summarecon Bekasi, Bekasi",3,2,,LT:  60 m²,LB:  80 m²
Rp 780 Juta,"Jatibening, Bekasi",3,2,,LT:  116 m²,LB:  160 m²
Rp 660 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  60 m²,LB:  48 m²
Rp 670 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  60 m²,LB:  50 m²
Rp 860 Juta,"Summarecon Bekasi, Bekasi",3,2,,LT:  90 m²,LB:  70 m²
Rp 750 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  66 m²,LB:  55 m²
Rp 670 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  60 m²,LB:  55 m²
"Rp 1,72 Miliar","Bekasi, Bekasi",4,3,,LT:  130 m²,LB:  120 m²
Rp 620 Juta,"Tarumajaya, Bekasi",3,1,,LT:  90 m²,LB:  72 m²
Rp 560 Juta,"Bekasi, Bekasi",4,2,,LT:  104 m²,LB:  150 m²
Rp 970 Juta,"Galaxy, Bekasi",3,2,,LT:  140 m²,LB:  105 m²
Rp 610 Juta,"Bekasi, Bekasi",2,1,,LT:  78 m²,LB:  78 m²
Rp 590 Juta,"Jati Asih, Bekasi",3,2,,LT:  84 m²,LB:  111 m²
"Rp 2,21 Miliar","Harapan Indah, Bekasi",5,3,,LT:  105 m²,LB:  200 m²
Rp 660 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  67 m²,LB:  45 m²
Rp 500 Juta,"Bekasi, Bekasi",2,1,,LT:  60 m²,LB:  60 m²
Rp 520 Juta,"Bekasi, Bekasi",2,1,,LT:  65 m²,LB:  48 m²
"Rp 2,66 Miliar","Summarecon Bekasi, Bekasi",4,3,,LT:  216 m²,LB:  250 m²
"Rp 1,66 Miliar","Bekasi Utara, Bekasi",3,3,,LT:  120 m²,LB:  93 m²
"Rp 1,66 Miliar","Harapan Indah, Bekasi",3,3,,LT:  120 m²,LB:  93 m²
Rp 610 Juta,"Bekasi Timur, Bekasi",2,1,,LT:  97 m²,LB:  90 m²
Rp 500 Juta,"Babelan, Bekasi",2,1,,LT:  60 m²,LB:  60 m²
Rp 650 Juta,"Babelan, Bekasi",3,2,,LT:  87 m²,LB:  87 m²
Rp 640 Juta,"Jatisampurna, Bekasi",2,1,,LT:  72 m²,LB:  50 m²
Rp 510 Juta,"Babelan, Bekasi",2,1,,LT:  90 m²,LB:  45 m²
Rp 500 Juta,"Babelan, Bekasi",2,1,,LT:  60 m²,LB:  60 m²
Rp 1 Miliar,"Bekasi Timur, Bekasi",3,2,,LT:  150 m²,LB:  90 m²
"Rp 3,1 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  244 m²,LB:  177 m²
Rp 720 Juta,"Tarumajaya, Bekasi",4,2,,LT:  60 m²,LB:  120 m²
"Rp 1,88 Miliar","Bekasi Timur, Bekasi",4,4,,LT:  120 m²,LB:  120 m²
Rp 380 Juta,"Harapan Indah, Bekasi",2,1,,LT:  56 m²,LB:  40 m²
"Rp 1,22 Miliar","Jatibening, Bekasi",3,2,,LT:  76 m²,LB:  130 m²
"Rp 1,05 Miliar","Bekasi Utara, Bekasi",4,2,,LT:  96 m²,LB:  170 m²
"Rp 3,4 Miliar","Harapan Indah, Bekasi",4,3,1,LT:  140 m²,LB:  240 m²
"Rp 1,1 Miliar","Harapan Indah, Bekasi",2,1,1,LT:  112 m²,LB:  90 m²
Rp 750 Juta,"Harapan Indah, Bekasi",2,1,2,LT:  121 m²,LB:  80 m²
"Rp 1,15 Miliar","Jatibening, Bekasi",3,3,2,LT:  78 m²,LB:  96 m²
"Rp 1,1 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  82 m²,LB:  120 m²
"Rp 1,1 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  121 m²,LB:  90 m²
"Rp 1,6 Miliar","Harapan Indah, Bekasi",3,3,2,LT:  144 m²,LB:  200 m²
"Rp 1,3 Miliar","Jatibening, Bekasi",3,2,1,LT:  95 m²,LB:  90 m²
"Rp 1,1 Miliar","Jatibening, Bekasi",3,3,2,LT:  78 m²,LB:  96 m²
Rp 575 Juta,"Harapan Indah, Bekasi",4,2,2,LT:  121 m²,LB:  100 m²
Rp 575 Juta,"Harapan Indah, Bekasi",2,1,1,LT:  60 m²,LB:  50 m²
Rp 1 Miliar,"Harapan Indah, Bekasi",3,2,,LT:  60 m²,LB:  105 m²
Rp 700 Juta,"Harapan Indah, Bekasi",3,1,,LT:  60 m²,LB:  45 m²
"Rp 1,2 Miliar","Summarecon Bekasi, Bekasi",5,5,1,LT:  105 m²,LB:  210 m²
Rp 650 Juta,"Summarecon Bekasi, Bekasi",2,1,1,LT:  92 m²,LB:  80 m²
"Rp 1,3 Miliar","Jatibening, Bekasi",3,2,1,LT:  95 m²,LB:  95 m²
Rp 800 Juta,"Jatibening, Bekasi",2,2,1,LT:  90 m²,LB:  60 m²
"Rp 1,25 Miliar","Jatibening, Bekasi",3,2,2,LT:  95 m²,LB:  85 m²
Rp 450 Juta,"Harapan Indah, Bekasi",2,1,,LT:  60 m²,LB:  60 m²
Rp 870 Juta,"Harapan Indah, Bekasi",2,1,,LT:  69 m²,LB:  45 m²
Rp 950 Juta,"Bekasi Utara, Bekasi",3,2,1,LT:  60 m²,LB:  93 m²
"Rp 1,5 Miliar","Summarecon Bekasi, Bekasi",2,2,1,LT:  66 m²,LB:  69 m²
"Rp 1,1 Miliar","Jatibening, Bekasi",3,3,2,LT:  78 m²,LB:  96 m²
"Rp 1,8 Miliar","Kemang Pratama, Bekasi",3,2,1,LT:  216 m²,LB:  109 m²
Rp 900 Juta,"Harapan Indah, Bekasi",3,1,1,LT:  89 m²,LB:  60 m²
"Rp 2,1 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  144 m²,LB:  124 m²
Rp 660 Juta,"Bekasi Utara, Bekasi",2,1,,LT:  60 m²,LB:  48 m²
Rp 670 Juta,"Bekasi Timur, Bekasi",2,1,,LT:  60 m²,LB:  50 m²
Rp 750 Juta,"Bekasi Utara, Bekasi",2,1,,LT:  66 m²,LB:  55 m²
Rp 670 Juta,"Bekasi Utara, Bekasi",2,1,,LT:  60 m²,LB:  55 m²
